Restriction:  10
1501,1500,29,1.7695147257326111,6.837861437320935

3001,1500,19,0.06428119251358888,6.678361000150019

4501,1500,28,0.03273518202287463,6.174132079318301

6001,1500,8,0.021958864201486565,6.013545609636369

7501,1500,74,0.016520400795745745,4.245873300501122

9001,1500,15,0.013241044631382707,3.793693076869585

10501,1500,7,0.011047982291172424,3.6542240535627477

12001,1500,0,0.009478152955229989,3.6542240535627477

13501,1500,0,0.008298940346944148,3.6542240535627477

15001,1500,0,0.0073806819805397415,3.6542240535627477

16501,1500,0,0.00664538558635593,3.6542240535627477

18001,1500,0,0.00604332286095161,3.6542240535627477

19501,1500,0,0.00554128969346303,3.6542240535627477

21001,1500,0,0.005116269082713454,3.6542240535627477

22501,1500,0,0.004751802653812045,3.6542240535627477

24001,1500,0,0.004435809929768182,3.6542240535627477
